company_name,nifty_symbol,icici_shortname,match_type
Ramkrishna Forgings Ltd.,RKFORGE,RAMFOR,company_normalized
Redington Ltd.,REDINGTON,REDIND,company_normalized
Reliance Power Ltd.,RPOWER,RELPOW,company_normalized
SBFC Finance Ltd.,SBFC,SBFFIN,company_normalized
Sagility Ltd.,SAGILITY,SAGINI,company_normalized
Sai Life Sciences Ltd.,SAILIFE,SAILIF,company_normalized
Sammaan Capital Ltd.,SAMMAANCAP,INDHO,company_normalized
Sapphire Foods India Ltd.,SAPPHIRE,SAPFOO,company_normalized
Sarda Energy and Minerals Ltd.,SARDAEN,SARENE,company_word_overlap
Saregama India Ltd,SAREGAMA,SAREIN,company_normalized
Schneider Electric Infrastructure Ltd.,SCHNEIDER,SCHELE,company_word_overlap
Shipping Corporation of India Ltd.,SCI,SCI,symbol_exact
Shyam Metalics and Energy Ltd.,SHYAMMETL,SHYMET,company_normalized
Signatureglobal (India) Ltd.,SIGNATURE,ALFLAV,company_word_overlap
Sobha Ltd.,SOBHA,SOBDEV,company_normalized
Sona BLW Precision Forgings Ltd.,SONACOMS,SONBLW,company_word_overlap
Sonata Software Ltd.,SONATSOFTW,SONSOF,company_normalized
Star Health and Allied Insurance Company Ltd.,STARHEALTH,STAHEA,company_word_overlap
Sumitomo Chemical India Ltd.,SUMICHEM,SUMCH,company_normalized
Sun TV Network Ltd.,SUNTV,SUNTV,company_normalized
Supreme Petrochem Ltd.,SPLPETRO,SUPPET,company_normalized
Swan Corp Ltd.,SWANCORP,SWAENE,company_normalized
Syngene International Ltd.,SYNGENE,SYNINT,company_normalized
Syrma SGS Technology Ltd.,SYRMA,SYRTEC,company_word_overlap
TBO Tek Ltd.,TBOTEK,TBOTEK,company_normalized
Tata Chemicals Ltd.,TATACHEM,TATCHE,company_normalized
Tata Technologies Ltd.,TATATECH,TATTEC,company_normalized
Tata Teleservices (Maharashtra) Ltd.,TTML,TATINF,company_word_overlap
Techno Electric & Engineering Company Ltd.,TECHNOE,FORCOM,company_word_overlap
Tega Industries Ltd.,TEGA,TEGIND,company_normalized
Tejas Networks Ltd.,TEJASNET,TEJNET,company_normalized
Tenneco Clean Air India Ltd.,TENNIND,TENCLE,company_word_overlap
The Ramco Cements Ltd.,RAMCOCEM,RAMCEM,company_normalized
Timken India Ltd.,TIMKEN,TIMIND,company_normalized
Titagarh Rail Systems Ltd.,TITAGARH,TITWAG,company_normalized
Transformers And Rectifiers (India) Ltd.,TARIL,TRAREC,company_word_overlap
Travel Food Services Ltd.,TRAVELFOOD,TRVFOO,company_normalized
Trident Ltd.,TRIDENT,TRILTD,company_normalized
Triveni Turbine Ltd.,TRITURBINE,TRITUR,company_normalized
UCO Bank,UCOBANK,UCOBAN,company_normalized
UTI Asset Management Company Ltd.,UTIAMC,UTIAMC,symbol_exact
Urban Company Ltd.,URBANCO,URBCOM,company_normalized
Usha Martin Ltd.,USHAMART,USHMA,company_normalized
Vardhman Textiles Ltd.,VTL,NEPTEX,company_word_overlap
Vijaya Diagnostic Centre Ltd.,VIJAYA,VIJDIA,company_normalized
Welspun Corp Ltd.,WELCORP,WELCOR,company_normalized
Welspun Living Ltd.,WELSPUNLIV,WELIND,company_normalized
Whirlpool of India Ltd.,WHIRLPOOL,WHIIND,company_normalized
Wockhardt Ltd.,WOCKPHARMA,WOCKHA,company_normalized
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,WABIND,company_word_overlap
Zee Entertainment Enterprises Ltd.,ZEEL,ZEEENT,company_word_overlap
Zen Technologies Ltd.,ZENTEC,ZENTEC,company_normalized
Zensar Technolgies Ltd.,ZENSARTECH,ZENTE,company_word_overlap
Zydus Wellness Ltd.,ZYDUSWELL,ZYDWEL,company_normalized
eClerx Services Ltd.,ECLERX,ECLSER,company_normalized
